resolved.taxa.name,form,variety,species,genus,family,order,class,phylum,kingdom,rank,tol.id,source
Biomphalaria pfeifferi,NA,NA,Biomphalaria pfeifferi,Biomphalaria,Planorbidae,Hygrophila,Gastropoda,Mollusca,Metazoa,species,960329,tol
Ceratophallus natalensis,NA,NA,Afrogyrorbis natalensis,Afrogyrorbis,Planorbidae,Hygrophila,Gastropoda,Mollusca,Metazoa,species,4956853,tol
Ceratophallus,NA,NA,NA,Afrogyrorbis,Planorbidae,Hygrophila,Gastropoda,Mollusca,Metazoa,genus,404313,tol
Gyraulus connollyi,NA,NA,Gyraulus connollyi,Gyraulus,Planorbidae,Hygrophila,Gastropoda,Mollusca,Metazoa,species,2879071,tol
Gyraulus costulatus,NA,NA,Gyraulus costulatus,Gyraulus,Planorbidae,Hygrophila,Gastropoda,Mollusca,Metazoa,species,693750,tol
Gyraulus,NA,NA,NA,Gyraulus,Planorbidae,Hygrophila,Gastropoda,Mollusca,Metazoa,genus,357721,tol
Hovorbis coretus,NA,NA,Africanogyrus coretus,Africanogyrus,Planorbidae,Hygrophila,Gastropoda,Mollusca,Metazoa,species,2915697,tol
Lentorbis carringtoni,NA,NA,Lentorbis carringtoni,Lentorbis,Planorbidae,Hygrophila,Gastropoda,Mollusca,Metazoa,species,2917641,tol
Lentorbis junodi,NA,NA,Lentorbis junodi,Lentorbis,Planorbidae,Hygrophila,Gastropoda,Mollusca,Metazoa,species,2920002,tol
Segmentorbis angustus,NA,NA,Segmentorbis angustus,Segmentorbis,Planorbidae,Hygrophila,Gastropoda,Mollusca,Metazoa,species,442055,tol
Segmentorbis planodiscus,NA,NA,Segmentorbis planodiscus,Segmentorbis,Planorbidae,Hygrophila,Gastropoda,Mollusca,Metazoa,species,2879129,tol
Assiminea ovata,NA,NA,Assiminea ovata,Assiminea,Assimineidae,Littorinimorpha,Gastropoda,Mollusca,Metazoa,species,776627,tol
Chaoborus,NA,NA,NA,Chaoborus,Chaoboridae,Diptera,Insecta,Arthropoda,Metazoa,genus,800080,tol
