transf,treatment,plateloc,species,temp,Environment,Habitat,Invasion,who,counts,mF,Fsd,mFL3,sFL3,mssc,mFL4,sFL4,biomass,countsml,countsintransfer,biorepid,fulltreat,X,Extinct,corr.Extinct,size
8,OIn,C05,Ostreococcus,22,FW,away,co-culture,ostreo,6089,41443.24581,102022.0809,1.627003458,0.757003021,7954.146761,0.786287864,0.394347831,2.202105081,304450,60890,C05:ostreo,OIn:22,#REF!,1,1,1.180021365
9,OIn,C05,Ostreococcus,22,FW,away,co-culture,ostreo,6833,28742.17647,19190.57861,3.086650295,1.616794041,9331.529412,1.130487165,0.707879243,1.722188932,341650,68330,C05:ostreo,OIn:22,#REF!,1,1,1.152432609
10,OIn,C05,Ostreococcus,22,FW,away,co-culture,ostreo,6152,28742.17647,19190.57861,3.086650295,1.616794041,9331.529412,1.130487165,0.707879243,1.722188932,307600,61520,C05:ostreo,OIn:22,#REF!,1,1,1.152432609
11,OIn,C05,Ostreococcus,22,FW,away,co-culture,ostreo,6943,43399.32944,117215.1879,1.166871872,2.145703263,25077.85125,1.134201584,2.382227512,2.283122466,347137,69427.4,C05:ostreo,OIn:22,#REF!,1,1,1.184270292
12,OIn,C05,Ostreococcus,22,FW,away,co-culture,ostreo,6150,80273.92,233445.9045,2.815301985,2.348780139,15073.72,1.147883864,3.301061673,4.203892414,307494.5,61498.9,C05:ostreo,OIn:22,#REF!,1,1,1.264367807
13,OIn,C05,Ostreococcus,22,FW,away,co-culture,ostreo,6901,22331.26645,55316.64975,1.666227942,0.700904657,6585.553328,0.807190899,0.356268778,1.508965598,345066.5,69013.3,C05:ostreo,OIn:22,#REF!,1,1,1.138507086
14,OIn,C05,Ostreococcus,22,FW,away,co-culture,ostreo,6127,22331.26645,55316.64975,1.666227942,0.700904657,6585.553328,0.807190899,0.356268778,1.508965598,306326,61265.2,C05:ostreo,OIn:22,#REF!,1,1,1.138507086
15,OIn,C05,Ostreococcus,22,FW,away,co-culture,ostreo,6620,105987.5926,323595.9776,3.025367269,1.886570428,31536.98421,1.251976904,0.873687316,6.039933887,330995,66199,C05:ostreo,OIn:22,#REF!,1,1,1.320222021
16,OIn,C05,Ostreococcus,22,FW,away,co-culture,ostreo,6507,24279.14905,82728.11715,1.662274691,2.53337655,18014.65962,1.677844626,3.370631239,1.571770431,325363.5,65072.7,C05:ostreo,OIn:22,#REF!,1,1,1.142738199
17,OIn,C05,Ostreococcus,22,FW,away,co-culture,ostreo,6202,41702.9,154223.5686,3.629932624,2.679329632,6859.114928,1.14455922,1.879479932,2.212747321,310118.985,62023.797,C05:ostreo,OIn:22,#REF!,1,1,1.180585376
18,OIn,C05,Ostreococcus,22,FW,away,co-culture,ostreo,6453,41857.67827,103042.3017,1.643273493,0.764573051,8033.688229,0.794150743,0.398291309,2.219107377,322650,64530,C05:ostreo,OIn:22,#REF!,1,1,1.180921579
19,OIn,C05,Ostreococcus,22,FW,away,co-culture,ostreo,6907,28929.59823,19382.4844,3.117516798,1.632961981,9424.844706,1.141792037,0.714958035,1.728707242,345350,69070,C05:ostreo,OIn:22,#REF!,1,1,1.152839719
20,OIn,C05,Ostreococcus,22,FW,away,co-culture,ostreo,7987,28929.59823,19382.4844,3.117516798,1.632961981,9424.844706,1.141792037,0.714958035,1.728707242,399350,79870,C05:ostreo,OIn:22,#REF!,1,1,1.152839719
21,OIn,C05,Ostreococcus,22,FW,away,co-culture,ostreo,7035,29308.1902,19770.13408,3.179867134,1.665621221,9613.3416,1.164627877,0.729257196,1.741924356,351750,70350,C05:ostreo,OIn:22,#REF!,1,1,1.153662082
22,OIn,C05,Ostreococcus,22,FW,away,co-culture,ostreo,6968,44709.98919,120755.0866,1.202111403,2.210503502,25835.20236,1.168454472,2.454170783,2.33850452,348400,69680,C05:ostreo,OIn:22,#REF!,1,1,1.187117255
23,OIn,C05,Ostreococcus,22,FW,away,co-culture,ostreo,6864,82698.19238,240495.9708,2.900324105,2.419713299,15528.94634,1.182549957,3.400753736,4.358409424,343200,68640,C05:ostreo,OIn:22,#REF!,1,1,1.269633715
24,OIn,C05,Ostreococcus,22,FW,away,co-culture,ostreo,6172,27036.7608,20773.33806,2.716301478,1.394924702,6305.08155,1.586495272,1.537551949,1.663627834,308600,61720,C05:ostreo,OIn:22,#REF!,1,1,1.148728173
25,OIn,C05,Ostreococcus,22,FW,away,co-culture,ostreo,7011,27036.7608,20773.33806,2.716301478,1.394924702,6305.08155,1.586495272,1.537551949,1.663627834,350550,70110,C05:ostreo,OIn:22,#REF!,1,1,1.614872817
0,OIn,C07,Ostreococcus,22,FW,away,co-culture,ostreo,1000,30362.24324,90869.32064,3.696216452,1.514312759,8166.932432,1.841196674,1.697294618,1.77907717,50000,10000,C07:ostreo,OIn:22,,1,1,1.155951654
1,OIn,C07,Ostreococcus,22,FW,away,co-culture,ostreo,74,30362.24324,90869.32064,3.696216452,1.514312759,8166.932432,1.841196674,1.697294618,1.77907717,3700,740,C07:ostreo,OIn:22,#REF!,1,1,1.155951654
2,OIn,C07,Ostreococcus,22,FW,away,co-culture,ostreo,1289,31444.0768,75617.89523,1.507848361,2.097547733,14039.67649,1.545460784,2.865992257,1.817754691,64450,12890,C07:ostreo,OIn:22,#REF!,1,1,1.158301569
3,OIn,C07,Ostreococcus,22,FW,away,co-culture,ostreo,80,33241.975,127673.3905,3.453005554,2.295119926,12874.2125,1.101317855,1.473276673,1.883265799,4000,800,C07:ostreo,OIn:22,#REF!,1,1,1.162206892
4,OIn,C07,Ostreococcus,22,FW,away,co-culture,ostreo,15532,27497.69244,29358.12203,1.56772811,0.429710675,6055.547965,0.781730124,0.237303039,1.679322379,776600,155320,C07:ostreo,OIn:22,#REF!,1,1,1.149729391
5,OIn,C07,Ostreococcus,22,FW,away,co-culture,ostreo,15532,27497.69244,29358.12203,1.56772811,0.429710675,6055.547965,0.781730124,0.237303039,1.679322379,776600,155320,C07:ostreo,OIn:22,#REF!,1,1,1.149729391
6,OIn,C07,Ostreococcus,22,FW,away,co-culture,ostreo,18084,104938.2105,320392.057,2.995413138,1.867891513,31224.73684,1.239581093,0.865036947,5.956183992,904200,180840,C07:ostreo,OIn:22,#REF!,1,1,1.317942595
7,OIn,C07,Ostreococcus,22,FW,away,co-culture,ostreo,14671,86390,150984.9485,2.459695299,2.187098246,19575.35294,1.495071883,2.43156046,4.600916493,733550,146710,C07:ostreo,OIn:22,#REF!,1,1,1.277652912
8,OIn,C07,Ostreococcus,22,FW,away,co-culture,ostreo,13841,23668.33333,17357.32907,3.584883884,1.67448095,6094.777778,1.640318075,0.909821315,1.551892229,692050,138410,C07:ostreo,OIn:22,#REF!,1,1,1.14141141
9,OIn,C07,Ostreococcus,22,FW,away,co-culture,ostreo,14738,28579.77273,15396.2272,2.618430956,1.79760974,6998.272727,1.37387888,1.851989977,1.716553987,736900,147380,C07:ostreo,OIn:22,#REF!,1,1,1.152079842
10,OIn,C07,Ostreococcus,22,FW,away,co-culture,ostreo,12281,29894.79199,68030.97233,1.558394173,2.185531924,9501.394703,1.649581723,3.019195632,1.762536133,614050,122810,C07:ostreo,OIn:22,#REF!,1,1,1.154936275
11,OIn,C07,Ostreococcus,22,FW,away,co-culture,ostreo,14516,33241.975,127673.3905,3.453005554,2.295119926,12874.2125,1.101317855,1.473276673,1.883265799,725800,145160,C07:ostreo,OIn:22,#REF!,1,1,1.162206892
12,OIn,C07,Ostreococcus,22,FW,away,co-culture,ostreo,14981,28314.60428,33017.02953,1.656609691,0.580617516,6583.180533,0.791874346,0.297068111,1.707379842,749050,149810,C07:ostreo,OIn:22,#REF!,1,1,1.151503854
13,OIn,C07,Ostreococcus,22,FW,away,co-culture,ostreo,13981,29627.58308,37746.95558,1.534984963,0.415165062,6236.074855,0.765769164,0.241629556,1.753127008,699050,139810,C07:ostreo,OIn:22,#REF!,1,1,1.154355854
14,OIn,C07,Ostreococcus,22,FW,away,co-culture,ostreo,13474,31378.49723,35114.70668,1.4296946,0.397795249,6154.852862,0.733584801,0.227178736,1.815394295,673700,134740,C07:ostreo,OIn:22,#REF!,1,1,1.15815912
