tax.uid,mean.mass,accepted.taxa.name,genus,family,order,class,phylum,kingdom
tax-2246,57.77109375,Adlafia,Adlafia,Naviculaceae,Naviculales,Bacillariophyceae,Ochrophyta,Chromista
tax-2249,25.2,Gomphosphenia,Gomphosphenia,Rhoicospheniaceae,Cymbellales,Bacillariophyceae,Ochrophyta,Chromista
tax-225,78.5,Crucigenia mucronata,Crucigenia,Trebouxiophyceae incertae sedis,Trebouxiophyceae ordo incertae sedis,Trebouxiophyceae,Chlorophyta,Plantae
tax-2251,197.82000000000002,Navigeia paludosa,Navigeia,Bacillariophyceae familia incertae sedis,Bacillariophyceae ordo incertae sedis,Bacillariophyceae incertae sedis,Bacillariophyta,Chromista
tax-2253,66,Mayamaea permitis,Mayamaea,Naviculales incertae sedis,Naviculales,Bacillariophyceae,Bacillariophyta,Chromista
tax-2254,55,Chamaepinnularia begeri,Chamaepinnularia,Sellaphoraceae,Naviculales,Bacillariophyceae,Bacillariophyta,Chromista
tax-2258,271.1760517454784,Hippodonta hungarica,Hippodonta,Naviculaceae,Naviculales,Bacillariophyceae,Bacillariophyta,Chromista
tax-2259,490,Hippodonta lueneburgensis,Hippodonta,Naviculaceae,Naviculales,Bacillariophyceae,Ochrophyta,Chromista
tax-226,78.5,Stichococcus mirabilis,Stichococcus,Stichococcaceae,Prasiolales,Trebouxiophyceae,Chlorophyta,Plantae
tax-2260,125.99999999999999,Hippodonta coxiae,Hippodonta,Naviculaceae,Naviculales,Bacillariophyceae,Bacillariophyta,Chromista
tax-2261,294,Hippodonta,Hippodonta,Naviculaceae,Naviculales,Bacillariophyceae,Ochrophyta,Chromista
tax-2262,692,Navicula protracta,Navicula,Naviculaceae,Naviculales,Bacillariophyceae,Ochrophyta,Chromista
tax-2264,378.1129696269554,Fistulifera pelliculosa,Fistulifera,Stauroneidaceae,Naviculales,Bacillariophyceae,Bacillariophyta,Chromista
tax-2266,1147.5,Haslea spicula,Haslea,Naviculaceae,Naviculales,Bacillariophyceae,Bacillariophyta,Chromista
tax-227,301.3570833333334,Hindakochloris nygaardii,Hindakochloris,Radiococcaceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Plantae
tax-2270,294.375,Berkeleya rutilans,Berkeleya,Berkeleyaceae,Naviculales,Bacillariophyceae,Bacillariophyta,Chromista
tax-2273,1172,Navicula trophicatrix,Navicula,Naviculaceae,Naviculales,Bacillariophyceae,Bacillariophyta,Chromista
tax-2275,111.0125207297828,Ankistrodesmus spiralis,Ankistrodesmus,Selenastraceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Plantae
tax-2276,13.412003393781664,Ankistrodesmus fasciculatus,Ankistrodesmus,Selenastraceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Plantae
tax-2278,121661.26451216308,Bambusina borreri,Bambusina,Desmidiaceae,Desmidiales,Zygnematophyceae,Charophyta,Plantae
tax-228,111289.3071924727,Staurosirella pinnata,Staurosirella,Staurosiraceae,Fragilariales,Bacillariophyceae,Bacillariophyta,Chromista
tax-2280,76838.66846993391,Botryococcus protuberans,Botryococcus,Botryococcaceae,Trebouxiales,Trebouxiophyceae,Chlorophyta,Plantae
tax-2281,188330.2879164944,Bulbochaete,Bulbochaete,Oedogoniaceae,Oedogoniales,Chlorophyceae,Chlorophyta,Plantae
tax-2287,205.51000108699688,Characium rostratum,Characium,Characiaceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Plantae
tax-2288,124.04999898877496,Characiopsis subulata,Characiopsis,Characiopsidaceae,Mischococcales,Xanthophyceae,Ochrophyta,Chromista
tax-229,152,Staurosirella mutabilis,Staurosirella,Staurosiraceae,Fragilariales,Bacillariophyceae,Bacillariophyta,Chromista
tax-2291,4124.175135973737,Closterium venus,Closterium,Closteriaceae,Desmidiales,Zygnematophyceae,Charophyta,Plantae
tax-2292,2237141.056994279,Closterium kuetzingii,Closterium,Closteriaceae,Desmidiales,Zygnematophyceae,Charophyta,Plantae
tax-2293,5299.846001696891,Closterium tumidum,Closterium,Closteriaceae,Desmidiales,Zygnematophyceae,Charophyta,Plantae
tax-2294,504572.2060016969,Closterium lunula,Closterium,Closteriaceae,Desmidiales,Zygnematophyceae,Charophyta,Plantae
tax-2295,173176.3669843914,Closterium intermedium,Closterium,Closteriaceae,Desmidiales,Zygnematophyceae,Charophyta,Plantae
tax-2296,376997.80600169685,Closterium ralfsii,Closterium,Closteriaceae,Desmidiales,Zygnematophyceae,Charophyta,Plantae
tax-2297,530019.1976096764,Closterium littorale,Closterium,Closteriaceae,Desmidiales,Zygnematophyceae,Charophyta,Plantae
tax-2298,566800.7,Closterium didymotocum,Closterium,Closteriaceae,Desmidiales,Zygnematophyceae,Charophyta,Plantae
tax-2299,410508,Closterium baillyanum,Closterium,Closteriaceae,Desmidiales,Zygnematophyceae,Charophyta,Plantae
tax-23,176.77260111111113,Aphanocapsa conferta,Aphanocapsa,Merismopediaceae,Synechococcales,Cyanophyceae,Cyanobacteria,Bacteria
tax-230,133.5,Staurosira pinnata,Staurosira,Fragilariaceae,Fragilariales,Bacillariophyceae,Ochrophyta,Chromista
tax-2300,16619.03,Closterium toxon,Closterium,Closteriaceae,Desmidiales,Zygnematophyceae,Charophyta,Plantae
tax-2302,33413.83,Cosmarium galeritum,Cosmarium,Desmidiaceae,Desmidiales,Zygnematophyceae,Charophyta,Plantae
