Genus;Species;Replicate.number;Group;Habitat;Trophic.group;Ref.tg;Body.length;Min.bl;Max.bl;Ref.bl;Dry.mass;Min.dm;Max.dm;Ref.dm;Cct.prop;Min.Cprop;Max.Cprop;Cct.total;Ref.C;Nct.prop;Min.Nprop;Max.Nprop;Nct.total;Ref.N;Pct.prop;Min.Pprop;Max.Pprop;Pct.total;Ref.P;N:Pct;Min.NP;Max.NP;Ref.NP;Protein.ct;Min.prot;Max.prot;Ref.prot;Lipid.ct;Min.lip;Max.lip;Ref.lip;Respiration.rt.ind;Respiration.rt.mg;Min.resp.mg;Max.resp.mg;Temp.resp.rt;Min.temp.resp.rt;Max.temp.resp.rt;Ref.resp;N-ammonia.ex.rt.ug.ind;N-ammonia.ex.rt.ug.dm;Min.Nex.rt.ug.dm;Max.Nex.rt.ug.dm;N-ammonia.ex.rt.nmol.dm;N-ammonia.ex.rt.nmol.ind;Min.Nex.rt.nmol.ind;Max.Nex.rt.nmol.ind;Temp.Nex.rt;Min.temp.Nex.rt;Max.temp.Nex.rt;Ref.N.ex;P-phosphate.ex.rt.ug.ind;P-phosphate.ex.rt.ug.dm;Min.Pex.rt.ug.dm;Max.Pex.rt.ug.dm;P-phosphate.ex.rt.nmol.dm;P-phosphate.ex.rt.nmol.ind;Min.Pex.rt.nmol.ind;Max.Pex.rt.nmol.ind;Temp.Pex.rt;Min.temp.Pex.rt;Max.temp.Pex.rt;Ref.P.ex;N:P.ex;Min.NP.ex;Max.NP.ex;Ref.NPex
Acartia;longiremis;4;Copepoda;Marine;NA;NA;NA;0,97;1,11;82;0,0076;NA;NA;69;43,39473684;NA;NA;0,003298;69;12;NA;NA;0,00091;69;0,605263158;NA;NA;0,00005;69;43,81565217;NA;NA;69;NA;NA;NA;NA;NA;NA;NA;NA;0,029;NA;NA;NA;13,1;NA;NA;69;0,0018;NA;NA;NA;NA;NA;NA;NA;13,1;NA;NA;69;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Acartia;longiremis;5;Copepoda;Marine;NA;NA;NA;NA;NA;NA;0,0073;NA;NA;69;43,42465753;NA;NA;0,00317;69;12,05479452;NA;NA;0,00088;69;0,547945205;NA;NA;0,00004;69;48,62;NA;NA;69;NA;NA;NA;NA;NA;NA;NA;NA;0,033;NA;NA;NA;13,1;NA;NA;69;0,0019;NA;NA;NA;NA;NA;NA;NA;13,1;NA;NA;69;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Acartia;longiremis;6;Copepoda;Marine;NA;NA;NA;NA;NA;NA;0,0082;NA;NA;69;43,40243902;NA;NA;0,003559;69;12;NA;NA;0,00098;69;0,597560976;NA;NA;0,00005;69;44,38040816;NA;NA;69;NA;NA;NA;NA;NA;NA;NA;NA;0,024;NA;NA;NA;7,3;NA;NA;69;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Acartia;longiremis;7;Copepoda;Marine;NA;NA;NA;NA;NA;NA;0,0076;NA;NA;69;43,42105263;NA;NA;0,0033;69;11,97368421;NA;NA;0,00091;69;0,657894737;NA;NA;0,00005;69;40,222;NA;NA;69;NA;NA;NA;NA;NA;NA;NA;NA;0,025;NA;NA;NA;7,3;NA;NA;69;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Acartia;longiremis;8;Copepoda;Marine;NA;NA;NA;NA;NA;NA;0,0101;NA;NA;69;43,3960396;NA;NA;0,004383;69;12;NA;NA;0,00121;69;0,603960396;NA;NA;0,00006;69;43,91016393;NA;NA;69;NA;NA;NA;NA;NA;NA;NA;NA;0,04;NA;NA;NA;9;NA;NA;69;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Acartia;longiremis;9;Copepoda;Marine;NA;NA;NA;NA;NA;NA;0,0104;NA;NA;69;43,40384615;NA;NA;0,004514;69;12;NA;NA;0,00125;69;0,596153846;NA;NA;0,00006;69;44,48516129;NA;NA;69;NA;NA;NA;NA;NA;NA;NA;NA;0,034;NA;NA;NA;9;NA;NA;69;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Acartia;longiremis;10;Copepoda;Marine;NA;NA;NA;NA;NA;NA;0,0088;NA;NA;69;43,39772727;NA;NA;0,003819;69;12;NA;NA;0,00106;69;0,602272727;NA;NA;0,00005;69;44,03320755;NA;NA;69;NA;NA;NA;NA;NA;NA;NA;NA;0,036;NA;NA;NA;10;NA;NA;69;0,0025;NA;NA;NA;NA;NA;NA;NA;10;NA;NA;69;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Acartia;longiremis;11;Copepoda;Marine;NA;NA;NA;NA;NA;NA;0,0068;NA;NA;69;43,39705882;NA;NA;0,002951;69;12;NA;NA;0,00082;69;0,602941176;NA;NA;0,00004;69;43,98439024;NA;NA;69;NA;NA;NA;NA;NA;NA;NA;NA;0,019;NA;NA;NA;9,7;NA;NA;69;0,0022;NA;NA;NA;NA;NA;NA;NA;9,7;NA;NA;69;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Acartia;pacifica;1;Copepoda;Marine;NA;NA;NA;NA;NA;NA;0,0091;NA;NA;70;41,6043956;NA;NA;0,003786;70;9,615384615;NA;NA;0,00088;70;0,791208791;NA;NA;0,00007;70;26,85763889;NA;NA;70;NA;NA;NA;NA;NA;NA;NA;NA;0,0052;NA;NA;NA;22;NA;NA;70;0,0009;NA;NA;NA;NA;NA;NA;NA;22;NA;NA;70;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Acartia;pacifica;2;Copepoda;Marine;NA;NA;NA;NA;NA;NA;0,0155;NA;NA;70;41,6;NA;NA;0,006448;70;9,619354839;NA;NA;0,00149;70;0,787096774;NA;NA;0,00012;70;27,00909836;NA;NA;70;NA;NA;NA;NA;NA;NA;NA;NA;0,0098;NA;NA;NA;28;NA;NA;70;0,004;NA;NA;NA;NA;NA;NA;NA;28;NA;NA;70;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
