uid,species,Codon,Ecosytem,Habitat,Reference,Note,name
309,Large microflagellates (Cryptomonas),Y,Hungarian Rivers,NA,Borics et al. (2007),NA,species.1
310,Cryptomonas ovata,Y,Mundaú Reservoir (Brazil),"water supply, shallow",Moura et al. (2007),NA,species.1
311,Cryptomonas curvata,Y,Lake Kastoria (Greece),"higly eutrophic, shallow",Moustaka-Goun et al. (2007),NA,species.1
311,Cryptomonas sp.,Y,Lake Kastoria (Greece),"higly eutrophic, shallow",Moustaka-Goun et al. (2007),NA,species.2
312,Cryptomonas cf. brasiliensis; Cryptomonas pyrenoidifera,Y,Paraibuna and Pomba river (Brazil),eutrophic,Soares et al. (2007),to X2,species.1
313,aff. Teleaulax sp.,Y,Comprida Lagoon (Brazil),"shallow, humic, acidic coastal lagoon",Alves de Souza et al. (2006),C. brasiliensis to X2,species.1
313,Cryptomonas brasiliensis,Y,Comprida Lagoon (Brazil),"shallow, humic, acidic coastal lagoon",Alves de Souza et al. (2006),C. brasiliensis to X2,species.2
314,Cryptomonas acuta,Y,Paraná river (Argentina),NA,Devercelli (2006),C. brasiliensis to X2,species.1
314,Cryptomonas brasiliensis,Y,Paraná river (Argentina),NA,Devercelli (2006),C. brasiliensis to X2,species.2
314,Cryptomonas curvata,Y,Paraná river (Argentina),NA,Devercelli (2006),C. brasiliensis to X2,species.3
314,Cryptomonas erosa,Y,Paraná river (Argentina),NA,Devercelli (2006),C. brasiliensis to X2,species.4
315,Cryptopmonas,Y,Mary river (Australia),floodplain lake,Townsend (2006),Rhodomonas to X2,species.1
315,Rhodomonas,Y,Mary river (Australia),floodplain lake,Townsend (2006),Rhodomonas to X2,species.2
316,Cryptomonas,Y,Lake Geneva,"monomictic, peri-alpine",Anneville et al. (2005),NA,species.1
317,Cryptomonas erosa,Y,Lake Xeresa (Spain),"shallow lake, experimental approach",Romo & Villena (2005),NA,species.1
318,Cryptomonas spp.,Y,Garças Reservoir (Brazil),"shallow, eutrophic, polimictic",Crossetti & Bicudo (2005),NA,species.1
319,Cryptophyceae,Y,Los Coipos Lake (Argentina),wetland,Fazio & O'Farrell (2005),NA,species.1
320,Cryptomonas sp.,Y,Lake Baikal (Russia),deep,Fietz et al. (2005),NA,species.1
321,Cryptomonas spp.,Y,"Foz do Areia, Segredo, Salto Santiago, Salto Osório, Salto Caxias reservoirs (Brazil)",cascading reservoir,Silva et al. (2005),NA,species.1
322,Cryptomonas curvata,Y,Stissing lake (USA),"shallow, mesoeutrophic, dimictic",Huszar et al. (2003),NA,species.1
