Taxa,08/03/2018,12/04/2018,09/05/2018,07/06/2018,09/07/2018,09/07/2018,07/08/2018,07/09/2018,07/09/2018,01/10/2018,14/11/2018,14/11/2018,03/12/2018,14/01/2019,18/02/2019,12/03/2019,01/04/2019,08/05/2019,08/05/2019,06/06/2019,06/06/2019,25/06/2019,25/06/2019,11/07/2019,11/07/2019,29/08/2019,17/09/2019,21/10/2019,19/11/2019,18/12/2019,21/01/2020,18/02/2020,17/03/2020,20/04/2020,14/05/2020,23/06/2020,23/06/2020,08/07/2020,05/08/2020,17/09/2020,20/10/2020,12/11/2020,15/12/2020
Aphanocapsa holsatica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.216E-03,,,,,,,,,,,,,
Aphanocapsa nubila,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.960E-03,,,,,,,,,,,,,,,
Aphanocapsa sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.360E-03,,,,,,,,,,,,2.470E-03
Aphanothece sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.743E-04,,,
Chroococcales,,,1.412E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chroococcus sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.684E-04,,,,,,,,
Merismopedia sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.334E-04,,,,,,
Oscillatoria sp.,,,,,,,,,,,,,,,,,,,,,,,,,3.227E-03,,,,,,,,,,,,,,,,,,2.895E-03
Planktolyngbya limnetica,,,,,,,,,6.997E-04,,,,,,,,,,,,,,,,,,,,,5.623E-05,3.378E-04,,,,,,,,,,,,
Planktothrix isothrix,,,,,,,,,,,,,,,,7.900E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,
Planktothrix sp.,,,,,,,,,,,3.530E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pseudanabaena catenata,,,1.515E-02,2.489E-04,,,,,1.070E-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pseudanabaena limnetica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.188E-03,,,4.466E-03,1.377E-02,,,4.906E-04
Chrysochromulina parva,,,5.567E-04,,,,2.937E-02,1.386E-01,1.451E-01,1.380E-01,1.249E-02,1.162E-02,1.672E-02,2.605E-03,1.800E-04,1.506E-01,3.192E-01,6.890E-03,1.220E-02,1.751E-02,3.106E-02,2.184E-01,2.541E-01,1.370E-01,1.265E-01,5.196E-03,8.471E-04,1.468E-03,2.485E-03,4.405E-03,2.238E-04,,1.119E-03,,,,7.460E-04,,1.421E-02,,,,
Ellipsoidion sp.,,,,1.034E-02,,,,,,,,,,,,,,,,,,,,,,1.573E-02,,,,,,,,,,,,,,,,,
Nephrodiella lunaris,,,,4.965E-04,,,8.440E-03,,6.619E-04,8.440E-03,,4.965E-04,,,,,9.400E-04,,,,,2.098E-02,1.399E-02,,2.098E-03,3.106E-02,6.085E-02,1.763E-01,1.779E-01,1.343E-02,3.427E-04,,,,,,,,,,,,
