body size,source code,Authors,Article Title,Source Title,Publication Year,Volume,Issue,Start Page,End Page,DOI,Abstract
D,52,"Lines, T; Orr, P; Beardall, J",Elevated co2 has Differential Effects on Five Species of Microalgae from a Subtropical Freshwater Lake: Possible Implications for Phytoplankton Species Composition1,JOURNAL OF PHYCOLOGY,2021,57,1,324,334,10.1111/jpy.13104,"nvestigated the effects of elevated CO2 (1,000 ppm) relative to current atmospheric CO2 partial pressures (400 ppm), on growth, cell size, carbon acquisition, and photophysiology of five freshwater phytoplankton species including a toxic cyanophyte, Raphidiopsis raciborskii, from Lake Wivenhoe, Australia"
D,57,"Sha, YC; Tesson, SVM; Hansson, LA",Diverging responses to threats across generations in zooplankton,ECOLOGY,2020,101,11,,,10.1002/ecy.3145,"xposed clones of a freshwater cladoceran, Daphnia magna, to threats from predation and ultraviolet radiation (UVR) during three consecutive parthenogenetic generations."
LG,58,"Krzton, W; Kosiba, J",Variations in zooplankton functional groups density in freshwater ecosystems exposed to cyanobacterial blooms,SCIENCE OF THE TOTAL ENVIRONMENT,2020,730,,,,10.1016/j.scitotenv.2020.139044,
D,60,"Pinheiro-Silva, L; Gianuca, AT; Silveira, MH; Petrucio, MM",Grazing efficiency asymmetry drives zooplankton top-down control on phytoplankton in a subtropical lake dominated by non-toxic cyanobacteria,HYDROBIOLOGIA,2020,847,10,2307,2320,10.1007/s10750-020-04255-5,
D,61,"Vezhnavets, VV; Litvinova, AG","REPRESENTATIVES OF THE GENUS EURYTEMORA GIESBRECHT, 1881 (CALANOIDA, TEMORIDAE) IN AQUATIC ECOSYSTEMS OF BELARUS",CRUSTACEANA,2020,93,3-5,283,298,10.1163/15685403-00004008,"The main biological features of two species of the genus Eurytemora have been studied: the relict E. lacustris (Poppe, 1887) and the alien E. velox"
D,63,"Ritschar, S; Rabus, M; Laforsch, C",Predator-specific inducible morphological defenses of a water flea against two freshwater predators,JOURNAL OF MORPHOLOGY,2020,281,6,653,661,10.1002/jmor.21131,investigated whether a clone of the pond-dwelling species Daphnia similis responds to different predatory invertebrates (Triops cancriformis; Notonecta maculata) with the expression of predator-specific modifications of the same defensive traits
D,65,"Luimstra, VM; Verspagen, JMH; Xu, TS; Schuurmans, JM; Huisman, J",Changes in water color shift competition between phytoplankton species with contrasting light-harvesting strategies,ECOLOGY,2020,101,3,,,10.1002/ecy.2951,Changes in water color shift competition between phytoplankton species with contrasting light-harvesting strategies
D,66,"Arunpandi, N; Jyothibabu, R; Jagadeesan, L; Albin, KJ; Savitha, KMM; Parthasarathi, S",Impact of salinity on the grazing rate of a cladocera (Latonopsis australis) in a large tropical estuarine system,ENVIRONMENTAL MONITORING AND ASSESSMENT,2020,192,2,,,10.1007/s10661-020-8068-x,Impact of salinity on the grazing rate of a cladocera
D,67,"Hofmann, P; Chatzinotas, A; Harpole, WS; Dunker, S",Temperature and stoichiometric dependence of phytoplankton traits,ECOLOGY,2019,100,12,,,10.1002/ecy.2875,investigate variability of cellular traits in three prokaryotic and three eukaryotic freshwater phytoplankton species along gradients of temperature and nitrogen:phosphorus ratio (N:P) in laboratory microcosms.
D,68,"Barrow, JL; Beisner, BE; Giles, R; Giani, A; Domaizon, I; Gregory-Eaves, I",Macrophytes moderate the taxonomic and functional composition of phytoplankton assemblages during a nutrient loading experiment,FRESHWATER BIOLOGY,2019,64,8,1369,1381,10.1111/fwb.13311,how macrophyte abundance altered phytoplankton assemblages using experimental ponds
