"","source.code","original.source.code","list.name","authours","Article.Title","publication","year","volume","issue","start.page.no","end.page.no","doi","abstract","Author.Full.Names","ISSN","eISSN","ISBN","Book.DOI","UT..Unique.WOS.ID."
"26",38,38,"primary data","Flöder, S; Yong, J; Klauschies, T; Gaedke, U; Poprick, T; Brinkhoff, T; Moorthi, S","Intraspecific trait variation alters the outcome of competition in freshwater ciliates","ECOLOGY AND EVOLUTION",2021,11,"15",10225,10243,"10.1002/ece3.7828","we investigate how intraspecific trait variation affects the competition between the freshwater ciliates Euplotes octocarinatus and Coleps hirtus in a nitrogen-limited chemostat system","Floeder, Sabine; Yong, Joanne; Klauschies, Toni; Gaedke, Ursula; Poprick, Tobias; Brinkhoff, Thorsten; Moorthi, Stefanie","2045-7758","","","","WOS:000667626100001"
"27",39,39,"primary data","Bomfim, FD; Melao, MDG; Gebara, RC; Lansac-Tôha, FA","Warming and predator drive functional responses of three subtropical cladocerans","AQUATIC ECOLOGY",2021,55,"3",903,914,"10.1007/s10452-021-09870-5","how warming and predator affect the functional responses of three subtropical cladocerans","Bomfim, Francieli de Fatima; Gama Melao, Maria da Graca; Gebara, Renan Castelhano; Lansac-Toha, Fabio Amodeo","1386-2588","1573-5125","","","WOS:000651664400001"
"28",40,40,"primary data","Münzner, K; Gollnisch, R; Rengefors, K; Koreiviene, J; Lindström, ES","High Iron Requirements for Growth in the Nuisance Alga Gonyostomum semen (Raphidophyceae)","JOURNAL OF PHYCOLOGY",2021,57,"4",1309,1322,"10.1111/jpy.13170","","Munzner, Karla; Gollnisch, Raphael; Rengefors, Karin; Koreiviene, Judita; Lindstrom, Eva S.","0022-3646","1529-8817","","","WOS:000650458000001"
"29",41,41,"primary data","Fettweis, A; Bergen, B; Hansul, S; De Schamphelaere, K; Smolders, E","Correlated Ni, Cu, and Zn Sensitivities of 8 Freshwater Algal Species and Consequences for Low-Level Metal Mixture Effects","ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY",2021,40,"7",2015,2025,"10.1002/etc.5034","explore the correlations of metal sensitivities among species and if these sensitivities or metal mixture interactions are related to growth or morphological traits","Fettweis, Andreas; Bergen, Benoit; Hansul, Simon; De Schamphelaere, Karel; Smolders, Erik","0730-7268","1552-8618","","","WOS:000648346800001"
"30",42,42,"primary data","Choi, JY; Kim, SK","The Use of Winter Water Temperature and Food Composition by the Copepod Cyclops vicinus (Uljanin, 1875) to Provide a Temporal Refuge from Fish Predation","BIOLOGY-BASEL",2021,10,"5",NA,NA,"10.3390/biology10050393","describe a new defense strategy for Cyclops vicinus, which is vulnerable to fish predation","Choi, Jong-Yun; Kim, Seong-Ki","","2079-7737","","","WOS:000653459300001"
"31",43,43,"primary data","Broccoli, A; Anselmi, S; Cavallo, A; Ferrari, V; Prevedelli, D; Pastorino, P; Renzi, M","Ecotoxicological effects of new generation pollutants (nanoparticles, amoxicillin and white musk) on freshwater and marine phytoplankton species","CHEMOSPHERE",2021,279,"",NA,NA,"10.1016/j.chemosphere.2021.130623","Effects of new generation pollutants on five phytoplankton species","Broccoli, Andrea; Anselmi, Serena; Cavallo, Andrea; Ferrari, Vittoria; Prevedelli, Daniela; Pastorino, Paolo; Renzi, Monia","0045-6535","1879-1298","","","WOS:000659971200116"
"32",44,44,"primary data","Tseng, M; Di Filippo, CM; Fung, M; Kim, JO; Forster, IP; Zhou, YL","Cascading effects of algal warming in a freshwater community","FUNCTIONAL ECOLOGY",2021,35,"4",920,929,"10.1111/1365-2435.13752","How resource quality is also affected by warming, and changes in resource quality can have meaningful effects on the productivity of higher trophic levels","Tseng, Michelle; Di Filippo, Carla M.; Fung, Madeline; Kim, Jihyun O.; Forster, Ian P.; Zhou, Yilin","0269-8463","1365-2435","","","WOS:000624341300001"
"33",46,46,"primary data","Kazama, T; Urabe, J; Yamamichi, M; Tokita, K; Yin, XW; Katano, I; Doi, H; Yoshida, T; Hairston, NG","A unified framework for herbivore-to-producer biomass ratio reveals the relative influence of four ecological factors","COMMUNICATIONS BIOLOGY",2021,4,"1",NA,NA,"10.1038/s42003-020-01587-9","Effects of production rate, defense traits and nutrient contents of producers, and predation by carnivores on structure of a community","Kazama, Takehiro; Urabe, Jotaro; Yamamichi, Masato; Tokita, Kotaro; Yin, Xuwang; Katano, Izumi; Doi, Hideyuki; Yoshida, Takehito; Hairston, Nelson G., Jr.","","2399-3642","","","WOS:000608285700007"
"34",47,47,"primary data","Amaral, DC; Dunck, B; Braghin, LSM; Fernandes, UL; Bomfim, FF; Bonecker, CC; Lansac-Tôha, FA","Predation by an omnivorous fish and food availability alter zooplankton functional diversity: a microcosm approach","ANAIS DA ACADEMIA BRASILEIRA DE CIENCIAS",2021,93,"",NA,NA,"10.1590/0001-3765202120200778","","Amaral, Diogo C.; Dunck, Barbara; Braghin, Louizi S. M.; Fernandes, Ubirajara L.; Bomfim, Francieli F.; Bonecker, Claudia C.; Lansac-Toha, Fabio A.","0001-3765","1678-2690","","","WOS:000691751200001"
"35",48,48,"primary data","Chaktraborty, S; Karmaker, D; Rahman, MA; Bali, SC; Das, SK; Hossen, R","Impacts of pH and salinity on community composition, growth and cell morphology of three freshwater phytoplankton","PLANT SCIENCE TODAY",2021,8,"3",655,661,"10.14719/pst.2021.8.3.1190","impacts of different pH (pH 5.90 to 9.10) and salinity (0.60 to 3.0 ppt) concentrations on freshwater phytoplankton Chlorella vulgaris, Euglena granulata and Scenedesmus quadricauda. ","Chaktraborty, Shaswati; Karmaker, Dipalok; Rahman, Md Alimur; Bali, Sukanto Chandra; Das, Subroto K.; Hossen, Riyad","2348-1900","","","","WOS:000669503900030"
"36",49,49,"primary data","Macêdo, RL; Franco, ACS; Corrêa, RF; Costa, KD; Pereira, LG; de Oliveira, FDM; Klippel, G; Cordeiro, BD; Thiago, MGR; Rocha, MID; Huszar, VLM; dos Santos, LN; Branco, CWC","Spreading of the invasive dinoflagellate Ceratium furcoides (Levander) Langhans throughout the Paraiba do Sul ecoregion, South America, Brazil","LIMNETICA",2021,40,"2",233,246,"10.23818/limn.40.16","looks at the invasive  dinoflagellate Ceratium furcoides (Levander) in south america","Macedo, Rafael Lacerda; Sampaio Franco, Ana Clara; Correa, Raphael Ferreira; Costa, Karen do Nascimento; Pereira, Laryssa Goncalves; Maniero de Oliveira, Fernando Daniela; Klippel, Gabriel; Cordeiro, Bruno Damasceno; Ribeiro Thiago, Mariana Guedes; Rocha, Maria Isabel de A.; Huszar, Vera L. M.; dos Santos, Luciano Neves; Castelo Branco, Christina Wyss","0213-8409","1989-1806","","","WOS:000659952800001"
"37",50,50,"primary data","Salmi, P; Mäki, A; Mikkonen, A; Puupponen, VM; Vuorio, K; Tiirola, M","Comparison of epifluorescence microscopy and flow cytometry in counting freshwater picophytoplankton","BOREAL ENVIRONMENT RESEARCH",2021,26,"",17,27,"10.17011/jyx/dataset/66278","Comparison of epifluorescence microscopy and flow cytometry in counting freshwater picophytoplankton","Salmi, Pauliina; Maki, Anita; Mikkonen, Anu; Puupponen, Veli-Mikko; Vuorio, Kristiina; Tiirola, Made","1239-6095","1797-2469","","","WOS:000641306800002"
"38",51,51,"primary data","Lu, XT; Gao, YY; Weisse, T","Functional Ecology of Two Contrasting Freshwater Ciliated Protists in Relation to Temperature","JOURNAL OF EUKARYOTIC MICROBIOLOGY",2021,68,"1",NA,NA,"10.1111/jeu.12823","growth rate (numerical response, NR) and ingestion rate (functional response, FR) over a range of ecologically relevant temperatures for two cilliate species","Lu, Xiaoteng; Gao, Yunyi; Weisse, Thomas","1066-5234","1550-7408","","","WOS:000602507000001"
"39",52,52,"primary data","Lines, T; Orr, P; Beardall, J","Elevated co2 has Differential Effects on Five Species of Microalgae from a Subtropical Freshwater Lake: Possible Implications for Phytoplankton Species Composition1","JOURNAL OF PHYCOLOGY",2021,57,"1",324,334,"10.1111/jpy.13104","nvestigated the effects of elevated CO2 (1,000 ppm) relative to current atmospheric CO2 partial pressures (400 ppm), on growth, cell size, carbon acquisition, and photophysiology of five freshwater phytoplankton species including a toxic cyanophyte, Raphidiopsis raciborskii, from Lake Wivenhoe, Australia","Lines, Thomas; Orr, Philip; Beardall, John","0022-3646","1529-8817","","","WOS:000601000600001"
"40",57,57,"primary data","Sha, YC; Tesson, SVM; Hansson, LA","Diverging responses to threats across generations in zooplankton","ECOLOGY",2020,101,"11",NA,NA,"10.1002/ecy.3145","xposed clones of a freshwater cladoceran, Daphnia magna, to threats from predation and ultraviolet radiation (UVR) during three consecutive parthenogenetic generations.","Sha, Yongcui; Tesson, Sylvie V. M.; Hansson, Lars-Anders","0012-9658","1939-9170","","","WOS:000567662000001"
"41",58,58,"primary data","Krzton, W; Kosiba, J","Variations in zooplankton functional groups density in freshwater ecosystems exposed to cyanobacterial blooms","SCIENCE OF THE TOTAL ENVIRONMENT",2020,730,"",NA,NA,"10.1016/j.scitotenv.2020.139044","","Krzton, Wojciech; Kosiba, Joanna","0048-9697","1879-1026","","","WOS:000537447300012"
"42",60,60,"primary data","Pinheiro-Silva, L; Gianuca, AT; Silveira, MH; Petrucio, MM","Grazing efficiency asymmetry drives zooplankton top-down control on phytoplankton in a subtropical lake dominated by non-toxic cyanobacteria","HYDROBIOLOGIA",2020,847,"10",2307,2320,"10.1007/s10750-020-04255-5","","Pinheiro-Silva, Lorena; Gianuca, Andros Tarouco; Silveira, Monica Hessel; Petrucio, Mauricio Mello","0018-8158","1573-5117","","","WOS:000531813500008"
"43",61,61,"primary data","Vezhnavets, VV; Litvinova, AG","REPRESENTATIVES OF THE GENUS EURYTEMORA GIESBRECHT, 1881 (CALANOIDA, TEMORIDAE) IN AQUATIC ECOSYSTEMS OF BELARUS","CRUSTACEANA",2020,93,"3-5",283,298,"10.1163/15685403-00004008","The main biological features of two species of the genus Eurytemora have been studied: the relict E. lacustris (Poppe, 1887) and the alien E. velox","Vezhnavets, Vasil V.; Litvinova, Anastasiya G.","0011-216X","1568-5403","","","WOS:000540781400005"
