resolved.taxa.name,tax.uid,form,variety,species,genus,family,order,class,phylum,kingdom,rank,source,check
Schizothrix lenormandiana,tax-5897,NA,NA,Schizothrix lenormandiana,Schizothrix,,Synechococcales,Cyanophyceae,Cyanobacteria,NA,species,AlgaeBase,check
Schizothrix pulvinata,tax-5898,NA,NA,Schizothrix pulvinata,Schizothrix,,Synechococcales,Cyanophyceae,Cyanobacteria,NA,species,AlgaeBase,check
Schizothrix septentrionalis,tax-5900,NA,NA,Schizothrix septentrionalis,Schizothrix,,Synechococcales,Cyanophyceae,Cyanobacteria,NA,species,AlgaeBase,check
Schizothrix simplicior,tax-5901,NA,NA,Schizothrix simplicior,Schizothrix,,Synechococcales,Cyanophyceae,Cyanobacteria,NA,species,AlgaeBase,check
Schizothrix tenuis,tax-5902,NA,NA,Schizothrix tenuis,Schizothrix,,Synechococcales,Cyanophyceae,Cyanobacteria,NA,species,AlgaeBase,check
Schizothrix thermophila,tax-5903,NA,NA,Schizothrix thermophila,Schizothrix,,Synechococcales,Cyanophyceae,Cyanobacteria,NA,species,AlgaeBase,check
Schizothrix tinctoria,tax-5904,NA,NA,Schizothrix tinctoria,Schizothrix,,Synechococcales,Cyanophyceae,Cyanobacteria,NA,species,AlgaeBase,check
Sphaerobotrys fluviatilis,tax-5926,NA,NA,Sphaerobotrys fluviatilis,Sphaerobotrys,,,Chlorophyceae,Chlorophyta,NA,species,AlgaeBase,check
Tubiella elenkinii,tax-6061,NA,NA,Tubiella elenkinii,Tubiella,,Synechococcales,Cyanophyceae,Cyanobacteria,NA,species,AlgaeBase,check
Jaaginema minimum,tax-6751,NA,NA,Jaaginema minimum,Jaaginema,,Synechococcales,Cyanophyceae,Cyanobacteria,NA,species,AlgaeBase,check
